sustancia_retc,cas,umbral_mpu_kg_anual,umbral_emision_transferencia_kg_anual,fuente_normativa,aplicable_columna_umbral,notas
"1,1,2,2-tetracloroetano",79-34-5,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,1,2-tricloroetano",79-00-5,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,1-dicloro-1-fluoroetano (HCFC-141b)",1717-00-6,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,1'-dimetil-4,4'-bipiridinio",4685-14-7,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,1-metileno bis(4-isocianato de ciclohexano)",5124-30-1,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,2,4-triclorobenceno",120-82-1,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,2,5,6,9,10-hexabromociclodecano",3194-55-6,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,2-diclorobenceno",95-50-1,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,2-dicloroetano",107-06-2,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,2-dicloropropano",78-87-5,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,3-dicloro-1,1,2,2,3-pentafluoropropano (HCFC-225cb)",507-55-1,2500,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,3-dicloro-5,5-dimetilhidantoína",118-52-5,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1,4-diclorobenceno",106-46-7,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"1-cloro-1,1-difluoretano (HCFC-142b)",75-68-3,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,2,4-trimetilhexametileno diisocianato",15646-96-5,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,2-dicloro-1,1,1-trifluoroetano (HCFC-123)",306-83-2,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,3,3-trimetil-3H-indol",1640-39-7,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,3,4,6-tetraclorofenol",58-90-2,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,4,4-trimetilhexametileno diisocianato",16938-22-0,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,4,5-triclorofenol",95-95-4,2500,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,4,6-tricloro-1,3,5-triazina",108-77-0,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,4,6-triclorofenol",88-06-2,2500,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2,4-dinitrotolueno",121-14-2,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"2-cloro-1,1,1,2-tetrafluoroetano (HCFC-124)",2837-89-0,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
2-etoxietanol (Éter monoetílico del etilenglicol),110-80-5,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
2-fluoroacetamida,640-19-7,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
2-nitropropano,79-46-9,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"3,3-dicloro-1,1,1,2,2-pentafluoropropano (HCFC-225ca)",422-56-0,2500,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"4,4'metileno-bis (2-cloroanilina) (MBOCA)",101-14-4,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"4,6-dinitro-o-cresol",534-52-1,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
4-alilveratrol,93-15-2,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
4-amino difenilo,92-67-1,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
4-dimetilaminoazobenceno,60-11-7,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
4-nitrodifenilo,92-93-3,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Acenafteno,83-32-9,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Acetaldehído,75-07-0,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Acetato de vinilo,108-05-4,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Ácido (4-cloro-2-metilfenoxi)acético,94-74-6,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Ácido 2,4 diclorofenoxiacético (2, 4-D)",94-75-7,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Ácido dicloroacético,79-43-6,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Ácido sulfhídrico,7783-06-4,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Ácido sulfónico de perfluorooctano y sus sales,1763-23-1,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Acrilamida,79-06-1,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Acrilonitrilo,107-13-1,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Acroleina,107-02-8,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Aldrin,309-00-2,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Alfa endosulfan,959-98-8,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Anilina,62-53-3,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Antimonio trióxido,1309-64-4,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
